LakeID,Location_ID,LakeNum,LakeName,County,Town,Area (ac),Area (ha),WshedArea (ac),WshedArea (ha),Wshed/Area,Zmax (ft),Zmax (m),Zmean (ft),"Zmean (m), orange=calc.",ZmeanCalc?,Residence,Sampling Years,Dlatitude,Dlongitude,Class,DamClass,Potable Water?,Swimming beach?,Supported Uses,Fish impacts?,Invasive Plants?,Invasive Animals?,Distance to Nearby AIS (mi),Name of Nearest Infected Lake (fixed?),>1HAB Notification?,Multiple Years HAB Notification?,PotableWater PWL,Bathing  PWL,Recreation PWL,AquaticLife PWL,Aesthetics PWL,Habitat PWL,FishConsumption PWL,Date 1st HAB listing 19,#Wks HAB Notification 19,#Wks HAB Notification 19,#Wks HAB Notification 18,#Wks HAB Updates 18,#Wks HAB Updates 17,#Wks HAB Updates 16,#Wks HAB Updates 15,#Wks HAB Updates 14,#Wks HAB Updates 13,#Wks HAB Updates 12,Weed Management?,Lake Assn Name,Sampled >2013?,18 Samplers,CSLAP Region,Watershed,Exp Region,ExpRegion2,CSLAP,2019 Sample?,Yrs Last 5,#Yrs>1HABsUpdates,Shore HABs PWS Score,Shore HABs Rec Score,Program,Zebras,Runoff (m),PWS-Days Closed,PWS-Treatments,PWS-MCL Violations-# Reporting Quarters,Beach-#Days Closures,Beach-Control measures,Algae Control Measures,Weed Control Measures,Plants,Fish Stocking,Comments
1303BEA0234,1303BEA0234_C,216,Beaver Dam Lake,Orange,"Blooming Grove, Cornwall, New Windsor",164,66,825,334,5,24.6,7.5,11.6,3.5,no,0.69,"2009-2012, 2014-2019",41.44295,-74.11542,B,C,no,lake association beach; Beaver Dam Lake Reserve #4,recreation and public bathing,none reported,Eurasian watermilfoil; Curly leafed pondweed; water chestnut,none reported,0,,"2013, 2014, 2015, 2016, 2017",yes,NA,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,NA,NA,,18,9,6,6,5,7,6,0,yes,Beaver Dam Lake Protective and Rehabilitation District,yes,"Larry and Kathleen Rossini, Denise Spina, Molly and Frederick Widman",Downstate,Lower Hudson River,Hudson Valley,lower Hudson,CSLAP,yes,,5,2,3,CSLAP,no,0.99,,,,6.5,,"Cutrine Plus 2017, 2016, 2008; copper sulfate 2015, 2014, 2009, 2008",Aquathol K 2014,,,
0601BEA0174,0601BEA0174_C,78,Beaver Lake,Broome,Windsor,38,16,336,136,8.8,18,5.5,7.5,2.3,no,0.59,"1991-1994, 2002-2010, 2012-2019",42.04553,-75.66561,C,B,no,,recreation,none reported,none reported,"banded mystery snail, virile crayfish",0,,"2012, 2013, 2014, 2015, 2017, 2019",yes,NA,NA,Stressed,Fully supported,Good,Good,Fully supported,7/15/2019,7/25/2019,,11,5,3,0,5,6,9,5,,Broome County Beaver Lake Assn.,yes,"Charles Heesh, Karen Madsen, Larry and Susan Paul",Central,Susquehanna River,Mid Atlantic,Central NY,CSLAP,yes,5,6,2,3,CSLAP,no,0.444613821,,,,,,,,,,
1302HOW0127,1302HOW0127_C,232,Bedford Lake,Westchester,Bedford,26,10,694,281,27,18,5.5,4.3,1.3,no,0.08,2012-2019,41.19496,-73.70377,B,B,no,,recreation,none reported,brittle naiad,none reported,0,,"2014, 2016, 2017, 2019",yes,NA,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,7/21/2019,9/15/2019,,10,4,2,5,1,2,1,1,herbicides 2018,Bedford Lake Club,yes,Peter Chieco,Downstate,Lower Hudson River,Hudson Valley,lower Hudson,CSLAP,yes,,4,2,3,CSLAP,no,0.6,,,,,,"SeClear/copper sulfate 2018, 2017, 2016, 2015, 2014, 2013",herbicides 2018,,,
1301BOW0444,1301BOW0444_C,235,Big Bowman Lake,Rensselaer,Sand Lake,32,13,581,235,18.1,26.9,8.2,14.8,4.5,no,0.41,2013-2019,42.64871,-73.48815,B,A,no,,recreation,none reported,none reported,none reported,5,Burden Lake,2016,no,NA,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,NA,NA,,2,1,0,2,0,0,0,0,,Bowman Lake Association  ,yes,"Bruce Sowalski, John Walsh, Scott Frost, Thomas Simons, Matt LeFleur",Central,Lower Hudson River,east central,mid Hudson,CSLAP,yes,,1,1,0,CSLAP,no,0.6,,,,,,,,,,
1701FRE0661,1701FRE0661_C,228,Big Fresh Pond (Lake Missapogue),Suffolk,Southhampton,77,31,563,228,7.3,50.8,15.5,23.9,7.3,no,1.22,"2011-2014, 2016-2019",40.92016,-72.41925,B,,no,,recreation,none reported,none reported,none reported,0.6,Little Fresh Pond,,,NA,Stressed,Impaired,Fully supported,Unknown,Unknown,Fully supported,NA,NA,,1,1,0,0,0,0,0,0,,Lake Missapogue Association,yes,"Fred Vanderwerven, John B Simoni Jr, Dorothea Donaldson, Frank Palmer",Downstate,Long Island Sound,NYC LI,NYC LI,CSLAP,yes,,0,0,0,CSLAP,no,0.3,,,,,,,,,,
0906BLA0001,0906BLA0001_C,51,Black Lake,St. Lawrence,Hammond,8352,3380,356827,144400,42.7,16.1,4.9,8.2,2.5,no,0.13,1988-2019,44.50507,-75.58288,B,C,no,"McLear's Cottage Colony; Cedar Grove Camps; Indian Head Point
",recreation and public bathing,none reported,Eurasian watermilfoil; Curly leafed pondweed,zebra mussels; common carp,0,,"2012, 2013, 2014, 2015, 2016, 2017, 2019",yes,NA,Impaired,Impaired,Unassessed,Fair,Unassessed,Unassessed,8/16/2019,8/16/2019,,11,5,2,5,2,4,3,3,physical,Black Lake Association,yes,Alan Boekhout,Adirondack,St. Lawrence River,western Adk,western Adk,CSLAP,yes,,7,2,3,CSLAP,yes,0.450138504,,,,11,,,,,,
1701BLA0788,1701BLA0788_C,217,Black Pond,Suffolk,Southhampton,3,1,124,50,45.5,3.3,1,1.5,0.5,no,0.04,"2009-2013, 2015",40.95134,-72.29626,C,,no,,recreation,none reported,none reported,none reported,1.8,Little Long Pond,,,NA,NA,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,NA,NA,,0,0,0,0,0,0,0,0,,,yes,,Downstate,Long Island Sound,NYC LI,NYC LI,CSLAP,no,,0,0,0,CSLAP,no,0.29,,,,,,,,,,
0302BLI0077,0302BLI0077_C,106,Blind Sodus Bay,Wayne,Wolcott,244,99,629,255,2.6,23,7,10.8,3.3,no,3.35,"1993-1994, 1996-1997",43.33781,-76.72788,B,*,no,,recreation,none reported,none reported,none reported,1.1,Little Sodus Bay,2016,no,NA,Impaired,Impaired,Fully supported,Fair,Fair,Stressed,NA,NA,,7,0,0,3,0,1,0,0,,,yes,,Western,Lake Ontario,Ontario,Finger Lakes,CSLAP,no,,1,1,0,CSLAP,no,0.381097561,,,,,,,,"eelgrass, and an unidentified narrow leafed pondweed.",,
1302BLU0122A,1302BLU0122A_C,202,Blue Heron Lake,Westchester,Pound Ridge,45,18,480,194,10.7,15.1,4.6,9.8,3,no,0.57,"2005-2006, 2008, 2014-2019",41.19619,-73.59162,B,B,no,,recreation,none reported,none reported,none reported,5.8,Bedford Lake,2014,no,NA,Fully supported,Fully supported,Fully supported,Good,Good,Fully supported,NA,NA,,0,0,0,0,0,2,0,0,,Blue Heron Landowners Association,yes,"Jonas and Sharon Weiner, DL Hutchinson and CW London",Downstate,Lower Hudson River,Hudson Valley,lower Hudson,CSLAP,yes,,1,1,0,CSLAP,no,0.494030988,,,,,,,,,,
0906UWB5014,0906UWB5014_C,237,Boyd Lake,Jefferson,Alexandria,21,9,297,120,13.9,9.8,3,3,0.9,no,0.13,2014-2015,44.30931,-75.73952,B,A,no,,recreation,none reported,none reported,none reported,0.7,Lake of the Woods,"2014, 2015",yes,NA,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,NA,NA,,0,0,0,0,3,7,0,0,,,yes,,Adirondack,St. Lawrence River,western Adk,western Adk,CSLAP,no,,2,2,1,CSLAP,no,0.5,,,,,,,,,,
0602BRA0154,0602BRA0154_C,46,Bradley Brook Reservoir,Madison,West Eaton,141,57,1638,663,11.6,28.9,8.8,13.8,4.2,no,0.9,"1988-2001, 2011-2014, 2016-2019",42.83428,-75.66129,B,B,no,Camp Lookout Madison County Children's Camp,recreation and public bathing,none reported,Eurasian watermilfoil; Curly leafed pondweed,none reported,0,,2019,no,NA,Fully supported,Fully supported,Fully supported,Good,Good,Fully supported,6/28/2019,6/28/2019,,3,1,0,0,0,0,0,0,,Hatch-Bradley Brook Lakes Association ,yes,James Kallmerten,Central,Susquehanna River,west central,Central NY,CSLAP,yes,4,0,0,0,CSLAP,no,0.4,,,,,,,,,,
1702BRA1039,1702BRA1039_C,125,Bradys Pond,Richmond,New York City,19,8,3131,1267,162.4,7.5,2.3,3.5,1.1,no,0.01,1997-2001,40.60442,-74.08021,B,,no,,recreation,none reported,none reported,none reported,6.8,Prospect Park Lake,,,NA,Impaired,Impaired,Fully supported,Poor,Good,Fully supported,NA,NA,,0,0,0,0,0,0,0,0,,,,,,Long Island Sound,NYC LI,NYC LI,CSLAP,no,,0,0,0,CSLAP,no,0.508130081,,,,,,,,,,
1104BRA0347,1104BRA0347_C,28,Brant Lake,Warren,Brant Lake,1376,557,25452,10300,18.5,65,19.8,29.9,9.1,no,0.69,"1987-1991, 1999-2003",43.71328,-73.70527,AAspec,C,yes,Mead's Cottages; Jimbo's Club at the Point; Mill Pond Beach; Pilgrim Camp; Point O'Pines Camp for Girls; Sunset Mountain Lodge,"potable water, recreation, and public bathing",none reported,Eurasian watermilfoil; Curly leafed pondweed,none reported,0,,,,Threatened,Fully supported,Fully supported,Fully supported,Good,Good,Fully supported,NA,NA,,0,0,0,0,0,0,0,0,physical,Brant Lake Association/Foundation,,Wayne Butler,,Upper Hudson River,eastern Adk,eastern Adk,CSLAP,no,,0,0,0,CSLAP,no,0.712261464,,,,,,,,"yellow water lily, white water lily, water shield, eelgrass",,
0801BRA0689,0801BRA0689_C,175,Brantingham Lake,Lewis,Greig,327,132,1625,658,5,60,18.3,28.2,8.6,no,2.25,"2001-2010, 2012-2014, 2016-2019",43.69492,-75.27409,A,A,yes,,potable water and recreation,none reported,none reported,none reported,15.7,Effley Falls Lake,,,Threatened,Threatened,Fully supported,Fully supported,Good,Good,Fully supported,NA,NA,,0,0,0,0,0,0,0,0,yes,Brantingham Community Association,yes,Karen and Chris Murphy,Adirondack,Black River,western Adk,western Adk,CSLAP,yes,,0,0,0,CSLAP,no,0.766827534,,,,,,,,,,
1301BUC0303,1301BUC0303_C,231,Buckingham Lake,Albany,Albany,6,2,158,64,26.7,4.9,1.5,3,0.9,no,0.07,"2011-2014, 2018-2019",42.66355,-73.80714,C,,no,,recreation,none reported,water chestnut,none reported,0,,"2012, 2013, 2019",yes,NA,NA,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,8/24/2019,8/24/2019,,0,0,0,0,0,1,4,2,herbicide 2013,Buckingham Pond Conservancy,yes,"Felton McLaughlin, Grace Bennett, Gabriela Sarhos, Marsha Penrose",Central,Lower Hudson River,east central,Mohawk,CSLAP,yes,,3,2,3,CSLAP,no,0.48,,,,,,copper sulfate 2014,herbicide 2013,,,
1301BUR0386,1301BUR0386C_C,122,Burden Third Lake,Rensselaer,Sand Lake,366,148,2792,1130,7.6,36,11,9.8,3,no,0.88,"1997-1999, 2003-2011, 2013-2019",42.60194,-73.56203,B,B,no,Camp Adventure,recreation and public bathing,none reported,Eurasian watermilfoil; Curly leafed pondweed; water chestnut,virile crayfish,0,,2013,no,NA,Fully supported,Stressed,Fully supported,Good,Fair,Fully supported,NA,NA,,0,0,0,0,0,0,2,0,"harvester 2016; fluridone 2015, 2004, 1999, 1997",Burden Lake Improvement Association ,yes,"Kevin Tighe, Steve Scarlata, Michael Kania, Dennis Ryan",Central,Lower Hudson River,east central,mid Hudson,CSLAP,yes,,1,1,0,CSLAP,no,0.444613821,,,,,,,"harvester 2016; fluridone 2015, 2004, 1999, 1997",,,
0906BUT0054,0906BUT0054_C,12,Butterfield Lake,Jefferson,Redwood,1005,407,4250,1720,4.2,47.6,14.5,14.4,4.4,no,0.69,"1986-2010, 2012-2019",44.31828,-75.77492,B,,no,,recreation,none reported,Eurasian watermilfoil; Curly leaf pondweed; frog bit,zebra mussels,0,,"2013, 2014, 2019",yes,NA,Stressed,Stressed,Fully supported,Fair,Poor,Fully supported,9/8/2019,9/8/2019,,2,1,1,0,0,2,8,0,,Butterfield Lake Cottage Owners' Association,yes,Walter Dutcher,Adirondack,St. Lawrence River,western Adk,western Adk,CSLAP,yes,,3,2,3,CSLAP,yes,1.505738887,,,,,,,,,,
1701CAN0889,1701CAN0889_C,62,Canaan Lake,Suffolk,Brookhaven,26,10,7999,3237,311.3,6.9,2.1,3,0.9,no,0.69,"1990-1995, 2000-2001, 2003-2005",40.7881,-73.02117,B(T),B(T),no,,recreation,none reported,fanwort; variable watermilfoil,none reported,0,,,,NA,Stressed,Stressed,Fully supported,Fair,Fair,Fully supported,NA,NA,,0,0,0,0,0,0,0,0,,,,,,Long Island Sound,NYC LI,NYC LI,CSLAP,no,,0,0,0,CSLAP,no,0.004185923,,,,,,,,,,"grass carp 2000, weed/surction harvesting 2000"
1201CAN0717,1201CAN0717_C,176,Canada Lake,Fulton,Caroga,128,52,26828,10857,209.6,91.9,28,69.9,21.3,no,0.13,"2001-2010, 2012-2019",43.16706,-74.51834,B,B,no,Lakeside Motel,recreation and public bathing,none reported,none reported,none reported,,,,,NA,Fully supported,Fully supported,Fully supported,Good,Poor,Impaired,NA,NA,,0,0,0,0,0,0,0,0,,Canada Lake Conservation Association,yes,John and Merryn Byrnes,Adirondack,Mohawk/Hudson River,eastern Adk,western Adk,CSLAP,yes,,0,0,0,CSLAP,no,0.76,,,,,,,,,,
0601CAN0392,0601CAN0392_C,57,Canadarago Lake,Otsego,Richfield Springs,1894,767,43244,17500,22.8,44,13.4,33.1,10.1,no,0.9,"1989-1993, 2015, 2017-2019",42.81579,-75.00645,AA(T),A,yes,Baker's Beach,"potable water, recreation, and public bathing",none reported,Eurasian watermilfoil; Curly leafed pondweed; starry stonewort,zebra mussels; rusty crayfish; common carp,0,,2015,no,Fully supported,Fully supported,Threatened,Fully supported,Good,Fair,Fully supported,NA,NA,,0,0,0,1,2,0,0,0,,Canadarago Lake Improvement Association,yes,"Susan Rosengrant, Matthew Dombrowski, Rita and Douglas Hitchcock, Christine and Charles Kuhn, Barbara Crandall, Pamela Lea",,Susquehanna River,,Central NY,CSLAP,no,,1,1,0,CSLAP,yes,0.49,,,,,,,,,,
0402CAN0043,0402CAN0043_C,252,Canadice Lake,Ontario,Canadice,669,271,7936,3212,11.9,83.3,25.4,53.8,16.4,no,7.83,2017-2019,42.71797595,-77.56905632,AA(TS),C,no,,recreation,,"Eurasian Watermilfoil, Brittle Naiad, Curly Leafed Pondweed",,0,,2019,no,Fully supported,Fully supported,Fully supported,Fully supported,Unassessed,Unassessed,Impaired,9/20/2019,9/20/2019,,0,0,0,0,0,0,0,0,,City of Rochester DES Water Bureau,yes,"John Maier, Britt Vanno, David Rowley, Robert Holland",,Genesee River,,,CSLAP,yes,,0,0,0,CSLAP,#REF!,0.281940564,,,,,,,,,,
0704CAN0286,0704CAN0286_CSL1,253,Canandaigua Lake - N,"Ontario, Yates","Gorham, Canandaigua, Middlesex, Italy, South Bristol",10528,4260,119040,48173,11.3,273.9,83.5,127.3,38.8,no,11.07,2017-2019,42.821167,-77.276333,AA(TS),D,no,Canandaigua Yacht Club; Kershaw Park beach; Deep Run Beach; Letourneau Christian Camp; Onanda Park; West Lake Road Butler Beach; Vine Valley Campground; Vine Valley Park,recreation and public bathing,,"Eurasian Watermilfoil, Curly Leafed Pondweed, Water Chestnut","Fishhook Waterflea, Chinese Mystery Snail, Asian Clam, Common Carp, Quagga Mussel, Zebra Mussel, Scud",0,,"2015, 2016, 2017, 2019",yes,Threatened,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,8/13/2019,10/28/2019,,8,6,4,1,4,0,0,0,,Canandaigua Lake Association,yes,"Stephen Zumbo, Brendan Brady, Deirdre Crofton, Nadia Harvieux, Lindsay McMillan",,Oswego River,,,CSLAP,yes,,,,,CSLAP,yes,0.30988062,2,,,29,,,,,,
0704CAN0286,0704CAN0286_CSL2,253,Canandaigua Lake - S,"Ontario, Yates","Gorham, Canandaigua, Middlesex, Italy, South Bristol",10528,4260,119040,48173,11.3,273.9,83.5,127.3,38.8,no,11.07,2017-2019,42.718667,-77.3125,,,,,,,,,,,2019,no,,,,,,,,8/13/2019,10/28/2019,,,,,,,,,,,,,"Deirdre Crofton, Brendan Brady, Lindsay McMillan, Nadia Harvieux",,,,,,yes,,,,,,,0.30988062,,,,,,,,,,
0705CAY0296,0705CAY0296_C,182,Cayuga Lake,"Cayuga, Tompkins, Seneca","Montezuma, Aurelius, Springport, Ledyard, Genoa, Lansing, Ithaca, Ulysses, Covert, Ovid, Romulus, Varick, Fayette, Seneca Falls",42814,17326,502375,203300,11.7,434.9,132.6,178.8,54.5,no,9.29,1996-1999,42.62967,-76.67118,AA(T),C,yes,Ithaca Yacht Club; Camp Comstock; Camp Barton; Lansing Town Park; Camp Caspar Gregory Beach; Frontenac Park; Harris Park Beach; Wells College Boathouse,"potable water, recreation, and public bathing",none reported,Eurasian watermilfoil; Curly-leafed pondweed; variable leaf watermilfoil; hydrilla; starry stonewort ,quagga mussels; zebra mussels; common carp; scud; European stream valvata,0,,"2014, 2016, 2019",yes,Threatened,Threatened,Impaired,Fully supported,Fair,Fair,Fully supported,7/7/2019,9/24/2019,,12,10,8,3,0,2,0,0,,Cayuga Lake Watershed Network,yes,"(1) Tom Casella, William Ebert, (2) Don Sargent, Shannon Barrett, (3) Bill Foster, Astrid Jirka, Franny Lux, Beth Anne McGrogan, Shelley Blackler, (4) Douglas A. Dixon, (5) James and John Murphy, Ed and Nancy Currier ",,Oswego River,,Finger Lakes,CSLAP,no,,3,2,3,CSLAP,no,0.5,,,,11.66666667,,,,,,
#N/A,#N/A,182-N,Cayuga Lake - old N,"Cayuga, Tompkins, Seneca","Montezuma, Aurelius, Springport, Ledyard, Genoa, Lansing, Ithaca, Ulysses, Covert, Ovid, Romulus, Varick, Fayette, Seneca Falls",42814,17326,502375,203300,11.7,434.9,132.6,178.8,54.5,no,9.29,2002-2007,42.84,-76.718,AA(T),C,yes,Ithaca Yacht Club; Camp Comstock; Camp Barton; Lansing Town Park; Camp Caspar Gregory Beach; Frontenac Park; Harris Park Beach; Wells College Boathouse,"potable water, recreation, and public bathing",none reported,Eurasian watermilfoil; Curly-leafed pondweed; variable leaf watermilfoil; hydrilla; starry stonewort ,quagga mussels; zebra mussels; common carp; scud; European stream valvata,0,,"2014, 2016, 2019",yes,Threatened,Threatened,Impaired,Fully supported,Fair,Fair,Fully supported,7/7/2019,9/24/2019,,12,10,8,3,0,2,0,0,,Cayuga Lake Watershed Network,yes,"(1) Tom Casella, William Ebert, (2) Don Sargent, Shannon Barrett, (3) Bill Foster, Astrid Jirka, Franny Lux, Beth Anne McGrogan, Shelley Blackler, (4) Douglas A. Dixon, (5) James and John Murphy, Ed and Nancy Currier ",,Oswego River,,Finger Lakes,CSLAP,no,,3,2,3,CSLAP,no,0.5,,,,11.66666667,,,,,,
